Temporada,Fecha,Hora,Presion(hPa),Temp(°C),
Verano,24/02/2025,00:00,-,22.6,
Verano,24/02/2025,02:00,-,21.6,
Verano,24/02/2025,04:00,-,21.5,
Verano,24/02/2025,06:00,-,21.1,
Verano,24/02/2025,08:00,984,5,25
Verano,24/02/2025,10:00,984,5,28.5
Verano,24/02/2025,12:00,983,5,31.1
Verano,24/02/2025,14:00,982,32.3,
Verano,24/02/2025,16:00,981,5,30.6
Verano,24/02/2025,18:00,982,26.2,
Verano,24/02/2025,20:00,983,5,23.9
Verano,24/02/2025,22:00,984,5,22.3
Verano,25/02/2025,00:00,984,3,22.9
Verano,25/02/2025,02:00,983.5,22.4,
Verano,25/02/2025,04:00,983,22.2,
Verano,25/02/2025,06:00,984,22,
Verano,25/02/2025,08:00,985,25.8,
Verano,25/02/2025,10:00,984.5,28.2,
Verano,25/02/2025,12:00,984,28.2,
Verano,25/02/2025,14:00,982,29.9,
Verano,25/02/2025,16:00,981.5,28.7,
Verano,25/02/2025,18:00,983,24.4,
Verano,25/02/2025,20:00,984,22.7,
Verano,25/02/2025,22:00,984.5,21.7,
Verano,26/02/2025,00:00,984,22.4,
Verano,26/02/2025,02:00,983,21.6,
Verano,26/02/2025,04:00,982.9,21.5,
Verano,26/02/2025,06:00,984,21,
Verano,26/02/2025,08:00,984.7,23.4,
Verano,26/02/2025,10:00,984.5,27.9,
Verano,26/02/2025,12:00,984,28.7,
Verano,26/02/2025,14:00,982.9,29.3,
Verano,26/02/2025,16:00,982.5,29.3,
Verano,26/02/2025,18:00,983.5,25.5,
Verano,26/02/2025,20:00,984.5,23.4,
Verano,26/02/2025,22:00,985.25,22.3,
Verano,27/02/2025,00:00,985,22.5,
Verano,27/02/2025,02:00,984,23.4,
Verano,27/02/2025,04:00,984,22.5,
Verano,27/02/2025,06:00,985,22.1,
Verano,27/02/2025,08:00,987,24.2,
Verano,27/02/2025,10:00,987,27.9,
Verano,27/02/2025,12:00,984,30.4,
Verano,27/02/2025,14:00,983,31,
Verano,27/02/2025,16:00,982,29.9,
Verano,27/02/2025,18:00,983,26.8,
Verano,27/02/2025,20:00,984,23.5,
Verano,27/02/2025,22:00,984,22.6,
Verano,28/02/2025,00:00,984,21.7,
Verano,28/02/2025,02:00,982.5,21.9,
Verano,28/02/2025,04:00,983,21.2,
Verano,28/02/2025,06:00,983.5,20.8,
Verano,28/02/2025,08:00,984,23.3,
Verano,28/02/2025,10:00,984,27.8,
Verano,28/02/2025,12:00,983.5,27.7,
Verano,28/02/2025,14:00,982.5,29.5,
Verano,28/02/2025,16:00,982,29.4,
Verano,28/02/2025,18:00,983.5,26,
Verano,28/02/2025,20:00,984.5,23.6,
Verano,28/02/2025,22:00,984.5,22.4,
Verano,1/03/2025,00:00,984,22.3,
Verano,1/03/2025,02:00,983.2,21.1,
Verano,1/03/2025,04:00,982.8,20.6,
Verano,1/03/2025,06:00,983.6,20.3,
Verano,1/03/2025,08:00,984.6,23,
Verano,1/03/2025,10:00,984.1,28.6,
Verano,1/03/2025,12:00,983.3,28.5,
Verano,1/03/2025,14:00,982.2,29.8,
Verano,1/03/2025,16:00,981.6,28.9,
Verano,1/03/2025,18:00,982.5,27,
Verano,1/03/2025,20:00,983.5,25.3,
Verano,1/03/2025,22:00,984,24.4,
Verano,2/03/2025,00:00,983.9,23.7,
Verano,2/03/2025,02:00,983.4,22.9,
Verano,2/03/2025,04:00,983.4,22.3,
Verano,2/03/2025,06:00,984,20.9,
Verano,2/03/2025,08:00,984.7,25.1,
Verano,2/03/2025,10:00,984.5,29.8,
Verano,2/03/2025,12:00,983.3,30.5,
Verano,2/03/2025,14:00,982.5,32.4,
Verano,2/03/2025,16:00,982.3,30.5,
Verano,2/03/2025,18:00,983,27.3,
Verano,2/03/2025,20:00,984.2,25.3,
Verano,2/03/2025,22:00,984.8,24.8,
Invierno,8/09/2025,00:00,-,12.8,
Invierno,8/09/2025,02:00,-,14.5,
Invierno,8/09/2025,04:00,-,14.1,
Invierno,8/09/2025,06:00,-,14.1,
,Invierno,8/09/2025,08:00,987,
,Invierno,8/09/2025,10:00,987.4,
,Invierno,8/09/2025,12:00,986,
Invierno,8/09/2025,14:00,985,16.9,
,Invierno,8/09/2025,16:00,984.5,
Invierno,8/09/2025,18:00,985.3,14.6,
,Invierno,8/09/2025,20:00,986,
,Invierno,8/09/2025,22:00,986.5,
,Invierno,9/09/2025,00:00,985.7,
Invierno,9/09/2025,02:00,985,-,
Invierno,9/09/2025,04:00,984.8,-,
Invierno,9/09/2025,06:00,985.7,-,
Invierno,9/09/2025,08:00,987,13.5,
Invierno,9/09/2025,10:00,987.5,14.5,
Invierno,9/09/2025,12:00,986.5,17.6,
Invierno,9/09/2025,14:00,-,19.2,
Invierno,9/09/2025,16:00,-,17.6,
Invierno,9/09/2025,18:00,-,15.5,
Invierno,9/09/2025,20:00,-,15,
Invierno,9/09/2025,22:00,987.2,14.9,
Invierno,10/09/2025,00:00,987.7,14.6,
Invierno,10/09/2025,02:00,987,14.6,
Invierno,10/09/2025,04:00,986.7,14.6,
Invierno,10/09/2025,06:00,985.3,14.6,
Invierno,10/09/2025,08:00,985.7,15.2,
Invierno,10/09/2025,10:00,986,15.4,
Invierno,10/09/2025,12:00,986.4,17.3,
Invierno,10/09/2025,14:00,985.3,19.6,
Invierno,10/09/2025,16:00,984.3,19.7,
Invierno,10/09/2025,18:00,984.7,15.3,
Invierno,10/09/2025,20:00,985.7,14.7,
Invierno,10/09/2025,22:00,986.3,14.5,
Invierno,11/09/2025,00:00,986.2,14.4,
Invierno,11/09/2025,02:00,985.7,13.6,
Invierno,11/09/2025,04:00,985.6,13.2,
Invierno,11/09/2025,06:00,985.8,13.1,
Invierno,11/09/2025,08:00,987.1,13.4,
Invierno,11/09/2025,10:00,988,14.1,
Invierno,11/09/2025,12:00,987,15.8,
Invierno,11/09/2025,14:00,985,17.5,
Invierno,11/09/2025,16:00,983.9,19.6,
Invierno,11/09/2025,18:00,983.9,15.9,
Invierno,11/09/2025,20:00,984,13.2,
Invierno,11/09/2025,22:00,984.5,14.4,
Invierno,12/09/2025,00:00,984.2,14.2,
Invierno,12/09/2025,02:00,983.7,14.1,
Invierno,12/09/2025,04:00,983.5,14.1,
Invierno,12/09/2025,06:00,985.5,13.8,
Invierno,12/09/2025,08:00,987.5,13.7,
Invierno,12/09/2025,10:00,988.5,13.8,
Invierno,12/09/2025,12:00,988,16.1,
Invierno,12/09/2025,14:00,986.5,18.2,
Invierno,12/09/2025,16:00,985,21.6,
Invierno,12/09/2025,18:00,985,16.9,
Invierno,12/09/2025,20:00,986.4,14.1,
Invierno,12/09/2025,22:00,986.5,13.3,
Invierno,13/09/2025,00:00,986,12.1,
Invierno,13/09/2025,02:00,985.4,12.5,
Invierno,13/09/2025,04:00,985,13.5,
Invierno,13/09/2025,06:00,985,13.7,
Invierno,13/09/2025,08:00,986,14.8,
Invierno,13/09/2025,10:00,985.7,19.8,
Invierno,13/09/2025,12:00,984.7,23,
Invierno,13/09/2025,14:00,984,21.5,
Invierno,13/09/2025,16:00,983.5,19.8,
Invierno,13/09/2025,18:00,983.3,16.8,
Invierno,13/09/2025,20:00,983.5,14.6,
Invierno,13/09/2025,22:00,984.5,15,
Invierno,14/09/2025,00:00,984.3,14.8,
Invierno,14/09/2025,02:00,983.5,14.4,
Invierno,14/09/2025,04:00,983.2,14.1,
Invierno,14/09/2025,06:00,985,14.3,
Invierno,14/09/2025,08:00,986.3,14,
Invierno,14/09/2025,10:00,986,15.3,
Invierno,14/09/2025,12:00,984.7,16,
Invierno,14/09/2025,14:00,983.7,17.6,
Invierno,14/09/2025,16:00,984.3,16.6,
Invierno,14/09/2025,18:00,985,15.2,
Invierno,14/09/2025,20:00,985.5,14.7,
Invierno,14/09/2025,22:00,985.3,14.4,
