T,R1,R2,R3,R4,R5,R6,R7,R8
5,,,,,1860,1883,1728,1963
6,,,,,1763,1809,1690,1953
7,,,,,1691,1699,1568,1759
8,,,,,1613,1621,1436,1689
9,1414,1613,1419,1392,1549,1529,1424,1602
10,1357,1533,1392,1338,1499,1478,1385,1544
11,1290,1443,1379,1273,1445,1422,1341,1501
12,1209,1349,1338,1197,1374,1363,1277,1420
13,1152,1290,1378,1142,1327,1321,1228,1370
14,1102,1227,1142,1091,1258,1248,1172,1288
15,1056,1181,1099,1044,1202,1197,1106,1238
16,1004,1129,1057,993,1150,1148,1067,1188
17,970,1083,1012,954,1108,1106,1030,1145
18,935,1044,959,919,1070,1085,989,1118
19,889,988,929,875,1019,1028,955,1059
20,847,942,887,843,973,980,914,1011
21,807,901,849,809,937,937,863,959
22,788,874,818,770,898,907,829,928
23,750,838,734,798,865,875,801,894
24,726,808,759,715,825,837,768,847
25,693,714,722,691,797,812,746,828
26,666,739,630,662,757,774,707,786
27,639,718,659,633,736,752,683,759
28,618,692,645,606,682,698,632,700
29,592,663,618,585,675,690,626,694
30,568,636,531,564,652,674,610,676
31,551,615,512,546,629,646,581,643
32,528,585,550,519,602,621,561,623
33,506,566,530,498,580,600,540,601
34,489,547,509,486,557,577,516,571
35,468,522,439,463,537,558,498,554
36,444,498,452,438,515,538,481,533
37,430,481,460,426,496,517,461,510
38,413,464,473,408,482,505,446,495
39,397,449,417,395,460,483,426,474
40,387,434,401,382,446,470,413,460
41,370,419,380,366,428,454,400,444
42,359,400,373,352,412,438,380,425
43,344,387,357,337,398,424,370,410
44,329,369,343,324,381,411,354,395
45,320,360,333,317,368,395,340,378
46,308,346,328,305,354,382,329,365
47,301,338,315,294,333,368,316,351
48,291,326,302,284,329,356,306,338
49,282,317,232,274,316,344,294,325
50,270,303,282,263,305,334,283,312
51,260,293,278,253,295,322,274,303
52,251,282,261,246,282,310,262,292
53,237,266,247,233,275,302,255,282
54,232,260,242,229,262,285,244,270
55,225,253,234,220,255,275,237,263
56,220,245,220,214,,,,
57,211,235,219,207,,,,
58,200,225,203,197,,,,
59,191,215,193,187,,,,
